skewness,variance,kurtosis,shannon_entropy,label
0.4869752,0.8753326,0.8431327,0.9266885,1
0.1259512,0.8481983,0.3420223,0.5651272,0
0.0012521,0.9627139,0.6170215,0.5458144,0
0.6450441,0.0518876,0.9946225,0.4763141,0
0.7605811,0.8453429,0.1318766,0.9789715,0
0.2371499,0.2653997,0.6120124,0.1231779,1
0.8931586,0.530305,0.7343817,0.7635447,1
0.6931829,0.7283556,0.2731884,0.6701116,0
0.9586921,0.5992537,0.5282637,0.9617048,1
0.9816029,0.1009166,0.7078224,0.5964547,1
0.4636426,0.5482663,0.6996317,0.9092994,1
0.9067813,0.1915665,0.226248,0.0545186,0
0.0897474,0.8194183,0.0143786,0.4854288,0
0.3204392,0.6183953,0.8524211,0.6058481,1
0.4565191,0.6849585,0.3602385,0.9034201,1
0.2137233,0.2532934,0.6307603,0.3032406,0
0.7166139,0.5146479,0.3916501,0.2707766,1
0.1670341,0.2228584,0.8964412,0.9931834,1
0.8432812,0.5683457,0.5926367,0.5897017,1
0.6620244,0.2211857,0.4954248,0.8803226,1
0.4021009,0.5219655,0.6196871,0.0438158,0
0.2837434,0.7761938,0.6124486,0.9713051,1
0.73569,0.4352261,0.4582869,0.9522183,1
0.7166274,0.6642443,0.4211653,0.7687892,0
0.5704274,0.3325684,0.4596171,0.4414649,1
0.9019218,0.2026939,0.5093499,0.9308165,0
0.3686746,0.5076249,0.6048249,0.0518435,0
0.2635411,0.4345112,0.7015335,0.9526208,1
0.5994485,0.3799901,0.8049884,0.9444305,0
0.6650291,0.8257301,0.5895662,0.3338821,0
0.5905452,0.5581939,0.4800311,0.1583841,0
0.173302,0.8944501,0.7375368,0.6204972,1
0.599799,0.9422965,0.5154974,0.3291865,0
0.5579182,0.1589312,0.2393897,0.9782256,0
0.0850699,0.4489351,0.9217005,0.5084786,1
0.5291227,0.9985223,0.5052851,0.673073,1
0.9911746,0.4859089,0.4926898,0.034172,0
0.725836,0.2980184,0.5094088,0.8576324,0
0.4234205,0.6484959,0.1962244,0.4337725,1
0.7529204,0.8748472,0.9250882,0.764533,1
0.8407927,0.4569582,0.3841891,0.6814606,0
0.7833611,0.2530895,0.7022895,0.1410633,0
0.2547281,0.7967004,0.5431233,0.9653493,1
0.1896667,0.3853218,0.4372297,0.1738184,0
0.050529,0.3627605,0.8467187,0.137627,0
0.1343538,0.3023763,0.1633393,0.3066568,1
0.8439052,0.2988302,0.5859696,0.1618806,0
0.7662534,0.7063423,0.5291231,0.0604359,0
0.8458979,0.304195,0.74611,0.5750282,1
0.1855381,0.8346882,0.3411395,0.3516213,1
0.1321577,0.1980061,0.3250204,0.1108476,1
0.1771465,0.9337247,0.3890031,0.5987204,1
0.4740508,0.2980652,0.9105053,0.8978067,1
0.2432578,0.9006213,0.7461554,0.7304249,1
0.5270315,0.8081542,0.0462797,0.5850034,1
0.1080337,0.752918,0.5799793,0.739921,1
0.9648081,0.1308822,0.9378172,0.4655391,1
0.8963718,0.969478,0.0222984,0.5316167,1
0.8931137,0.3302194,0.7271392,0.218535,0
0.3352184,0.6305017,0.6034134,0.61304,0
0.4223798,0.1128004,0.20509,0.8300356,1
0.3514275,0.2325748,0.6909398,0.4979884,1
0.776911,0.4664608,0.8178643,0.9249505,1
0.6145221,0.9436057,0.1424149,0.8855163,1
0.8277591,0.6935442,0.3109586,0.588481,1
0.9823863,0.2855622,0.7825745,0.8262989,0
0.6955069,0.3331404,0.0590891,0.599252,1
0.2754036,0.5586786,0.1104684,0.4636759,1
0.6132423,0.0604343,0.9412228,0.5646147,0
0.3449416,0.782442,0.8525411,0.5989211,0
0.6198133,0.9835506,0.8373068,0.4605769,1
0.7437238,0.6314535,0.0850453,0.8237706,1
0.0251255,0.0112972,0.457228,0.75098,1
0.3346355,0.995718,0.9889129,0.0985283,0
0.4439936,0.7409772,0.2893965,0.7711897,0
0.9467761,0.2062953,0.602811,0.2784943,1
0.2546819,0.0767056,0.2832677,0.0243356,1
0.334357,0.6946298,0.001386,0.4491528,1
0.0929485,0.3151387,0.9634074,0.9451682,1
0.2841227,0.1189638,0.8228112,0.6434824,0
0.4516931,0.4218198,0.6446729,0.5933236,1
0.1114968,0.2695998,0.4333913,0.2530782,0
0.7456565,0.0475923,0.7963846,0.2097871,0
0.9185142,0.4972288,0.4763085,0.5365415,0
0.0865252,0.5948116,0.154992,0.8002911,0
0.760876,0.46721,0.8922311,0.1480937,0
0.9922992,0.6495014,0.5894661,0.3694497,0
0.9139685,0.7584191,0.5951114,0.0533551,1
0.1218715,0.7308565,0.2370797,0.5303511,0
0.474389,0.3215404,0.0741198,0.9493147,0
0.3016874,0.4701801,0.483974,0.8679286,1
0.8428785,0.3185604,0.63174,0.983947,1
0.1447452,0.7488802,0.0556227,0.7983578,0
0.0920603,0.743676,0.3166808,0.4359581,1
0.1288155,0.9157445,0.145534,0.4980887,0
0.7495406,0.6144333,0.5262668,0.1390713,0
0.8128489,0.2357579,0.5326692,0.8553873,1
0.1723645,0.8853642,0.5794106,0.190174,0
0.1174013,0.1293522,0.3267531,0.3270104,0
0.2508002,0.2248722,0.481519,0.8915134,0
0.365685,0.4576693,0.4215221,0.2709599,1
0.632332,0.9152636,0.2084169,0.9877284,0
0.2185135,0.6195053,0.7749715,0.4545907,0
0.3661859,0.2285464,0.3823243,0.4729835,0
0.9350543,0.5298303,0.6052873,0.6226672,0
0.9486945,0.1979453,0.0105397,0.6009283,1
0.2122309,0.7072851,0.8981374,0.8777745,1
0.4926359,0.3062748,0.0195729,0.7232933,1
0.6842777,0.1715118,0.881095,0.3745353,1
0.3095931,0.9118323,0.0913723,0.9059414,1
0.7009392,0.3362281,0.6268626,0.502945,1
0.3364602,0.2061483,0.8400953,0.4637573,0
0.0257542,0.0886094,0.1144489,0.6539798,1
0.0074106,0.3786806,0.7708855,0.5187367,1
0.8921587,0.128735,0.5640598,0.8637321,1
0.0689431,0.3281523,0.4588988,0.5282657,1
0.7861746,0.1452673,0.4438083,0.1193376,1
0.8710337,0.5631721,0.7970387,0.9265096,1
0.4234661,0.4471933,0.659504,0.2032244,0
0.7287781,0.0203279,0.0899016,0.2704203,1
0.7253118,0.0429984,0.4629283,0.5501195,1
0.383576,0.6150103,0.999767,0.5210674,1
0.4295231,0.3138029,0.6357157,0.476228,1
0.9186468,0.6024192,0.1494406,0.0236191,1
0.1743705,0.7138967,0.4492151,0.7065147,1
0.6590181,0.781473,0.5310307,0.5382823,1
0.8615805,0.5642549,0.6757644,0.2648283,1
0.1026089,0.7853331,0.416314,0.6137231,0
0.7662476,0.6728404,0.8185691,0.1702048,1
0.435486,0.7920637,0.4485955,0.3096665,1
0.8064698,0.4031152,0.5709192,0.1209888,0
0.3481978,0.2578147,0.1987656,0.813978,0
0.7761049,0.5513698,0.338122,0.7518775,1
0.5705622,0.0480639,0.381154,0.6706271,1
0.128649,0.917307,0.5933724,0.2691958,0
0.7023517,0.9712286,0.8647505,0.2768191,0
0.0122548,0.7299495,0.9019183,0.2008834,0
0.3118935,0.3069713,0.1679448,0.3403787,1
0.647773,0.3538332,0.8744874,0.6513798,1
0.5078684,0.8641374,0.2415947,0.4128604,1
0.9838383,0.9148706,0.4378069,0.0831086,0
0.1812582,0.745744,0.1182547,0.3249903,0
0.4342389,0.4685709,0.1659077,0.0989536,1
0.4147373,0.3835171,0.8253793,0.614785,0
0.427851,0.4812128,0.8172,0.1632504,1
0.7909975,0.5080696,0.754739,0.2910219,1
0.6383707,0.4026376,0.1029719,0.0294721,1
0.1609911,0.1277646,0.5949187,0.0525503,1
0.3818876,0.8700082,0.7595547,0.5146618,1
0.7307535,0.131362,0.6764508,0.069587,1
0.2357161,0.6740153,0.7828616,0.3336818,1
0.7602771,0.9195875,0.2219504,0.2230646,0
0.8739273,0.9166771,0.8002263,0.2383909,0
0.3963912,0.7680984,0.9234409,0.6863738,1
0.9987405,0.3737959,0.5205603,0.9732125,1
0.4692053,0.1624838,0.1151822,0.2386708,0
0.1387592,0.8885008,0.2960994,0.7594827,1
0.0480974,0.1420328,0.7039694,0.2670302,0
0.4280692,0.6246806,0.0359561,0.815127,0
0.7857165,0.9274821,0.6074151,0.3230489,1
0.6295528,0.2068151,0.8268314,0.6714019,1
0.1654587,0.2115548,0.7886016,0.7939902,1
0.3035019,0.5782009,0.497046,0.1535365,0
0.3060481,0.6272621,0.0659038,0.4867649,0
0.5979854,0.4534349,0.9265265,0.3254085,1
0.3409468,0.4455819,0.548938,0.5729403,0
0.3232866,0.599748,0.6808486,0.3438588,1
0.8221456,0.3558899,0.6052822,0.2986269,1
0.4338896,0.6226083,0.3132566,0.6523424,1
0.1532945,0.6206717,0.2354484,0.6323687,0
0.3162767,0.8085387,0.9059079,0.0101026,1
0.2966691,0.7950784,0.1839637,0.3972568,0
0.612462,0.2115915,0.4487331,0.0931589,1
0.6869143,0.1496219,0.5102698,0.954567,0
0.6528863,0.1979417,0.6694618,0.7590983,1
0.5488847,0.9279901,0.8258423,0.1736207,0
0.3044621,0.6461461,0.9993667,0.3172726,0
0.5186056,0.2092669,0.5315015,0.9557403,1
0.08705,0.3971402,0.8118175,0.6597393,0
0.4424956,0.7830556,0.3535237,0.345794,1
0.2743965,0.0985965,0.155696,0.9105925,0
0.3336497,0.9820111,0.5732685,0.1259323,0
0.1135291,0.7842134,0.2579651,0.073289,1
0.4665493,0.3551554,0.2028736,0.9222876,0
0.4104674,0.286899,0.9726285,0.1214037,1
0.9411967,0.2275455,0.1021058,0.7436955,0
0.989784,0.5263448,0.2848065,0.9652867,0
0.8637762,0.2974759,0.8819907,0.4968308,1
0.9433104,0.1117593,0.5032316,0.0828851,0
0.2800752,0.9636255,0.9477578,0.814321,1
0.1817159,0.7336446,0.1721861,0.1923054,0
0.0376309,0.3587234,0.6241737,0.3276809,0
0.1562665,0.6122568,0.5590362,0.1936809,0
0.2777351,0.7694197,0.0327797,0.435039,0
0.1770041,0.2221859,0.892238,0.1502079,1
0.7946329,0.2451357,0.4059418,0.7646496,1
0.0868503,0.1932517,0.9108926,0.1980112,0
0.9976926,0.9952393,0.3085849,0.3803388,1
0.1867226,0.9854216,0.4720034,0.9356046,1
0.4510422,0.6335181,0.8977393,0.2154713,1
0.8819863,0.5464264,0.0895149,0.7076972,0
0.4723368,0.7272742,0.1289606,0.930891,0
0.6605822,0.0790816,0.0938442,0.0604753,1
0.266058,0.5161174,0.8800314,0.7113277,0
0.4230244,0.1281049,0.873469,0.0532267,1
0.2358076,0.9628178,0.9801228,0.1949246,0
0.7579792,0.2417468,0.1134992,0.7914603,1
0.5210012,0.4698446,0.6581386,0.9958206,0
0.3276206,0.5196569,0.1718791,0.3065299,1
0.0327805,0.2708465,0.9143875,0.982867,1
0.0454054,0.4149967,0.7245891,0.0085394,0
0.153165,0.732565,0.9393066,0.5096723,0
0.6225929,0.9743507,0.9534951,0.987488,1
0.5869781,0.4693637,0.2383966,0.7437913,0
0.0702014,0.6156899,0.384568,0.1550492,1
0.3002281,0.0473265,0.2721158,0.8630311,0
0.3258786,0.1988293,0.723428,0.8307801,0
0.3266216,0.2294915,0.9775465,0.4910892,1
0.5637683,0.0397133,0.6007202,0.444302,1
0.4646827,0.4411329,0.970783,0.2925405,0
0.4813045,0.9183569,0.3531524,0.2829374,1
0.9683352,0.9977694,0.8319796,0.4005532,1
0.5248184,0.5800396,0.027284,0.5634305,0
0.6168143,0.7855638,0.9974986,0.7073715,0
0.2388749,0.4811141,0.2224908,0.4588178,0
0.0841431,0.8338043,0.2393191,0.6544674,1
0.6245755,0.3107965,0.2386406,0.2026564,0
0.7519487,0.5763982,0.0558676,0.077999,0
0.3662231,0.8046786,0.8313623,0.0641535,0
0.9163567,0.6962106,0.8069215,0.2965837,1
0.0996242,0.8264945,0.3177519,0.7639314,1
0.7983828,0.8542815,0.0559656,0.2786456,0
0.0539373,0.0616574,0.7876933,0.1506638,0
0.4882026,0.1614846,0.7169153,0.041333,0
0.9159142,0.8377192,0.1475982,0.8443623,1
0.8314841,0.2400958,0.0740643,0.3118703,0
0.6982194,0.7059156,0.866983,0.9606171,0
0.17499,0.809696,0.3642675,0.7041892,1
0.0365413,0.4585425,0.5391986,0.1664676,0
0.6000977,0.7388126,0.1321482,0.3099483,1
0.4868835,0.5732514,0.553437,0.9732984,1
0.8338431,0.8438893,0.7928862,0.5186924,0
0.4270291,0.6209512,0.6221499,0.4037102,1
0.6239331,0.5954813,0.8688419,0.1450231,1
0.7106722,0.9511699,0.4303513,0.9454784,1
0.9398836,0.1400012,0.7442852,0.3168019,0
0.7977683,0.7500646,0.5802165,0.8670499,0
0.6537555,0.7322168,0.3983692,0.1665427,0
0.7462085,0.1561356,0.8329691,0.2213777,0
0.7474142,0.7857152,0.3045194,0.2511613,0
0.8134908,0.9590492,0.5862831,0.8789661,1
0.8639123,0.0576819,0.1057376,0.4793339,1
0.8764132,0.0826056,0.9641576,0.2956432,1
0.6467424,0.1065454,0.0994673,0.7377272,0
0.1748931,0.3344346,0.500045,0.2147609,1
0.0808207,0.863317,0.1008501,0.2564617,1
0.7938956,0.3804932,0.4367062,0.1452019,0
0.164935,0.0044969,0.3018962,0.1205584,0
0.1737176,0.377734,0.8855174,0.555253,0
0.5952723,0.9694126,0.3935715,0.1687388,0
0.2689254,0.3992523,0.3519616,0.3944657,1
0.1095256,0.5087107,0.0385309,0.9535431,0
0.3467387,0.6703509,0.4157371,0.9637432,0
0.8884217,0.6421488,0.2449619,0.3870651,1
0.4705844,0.3975618,0.2938932,0.8912097,0
0.6395233,0.3984634,0.3959117,0.9506504,1
0.5391192,0.9292148,0.5716976,0.9923984,1
0.3552212,0.3360506,0.3940492,0.4395524,0
0.4244295,0.4602092,0.1333037,0.0059701,1
0.2153784,0.7302293,0.9951227,0.9016816,0
0.5620054,0.2626115,0.6132906,0.401596,1
0.930827,0.7924751,0.2818428,0.8783328,1
0.6581662,0.0602223,0.3702461,0.4478148,1
0.676098,0.734438,0.113757,0.9487599,0
0.887756,0.443502,0.7950244,0.4623803,0
0.5201932,0.5400984,0.7860499,0.1841264,0
0.6854365,0.2490078,0.5738265,0.70746,0
0.2054286,0.7782334,0.7351988,0.3869689,1
0.3466445,0.5767931,0.2402508,0.2910454,0
0.0405658,0.1039522,0.569526,0.4156165,0
0.8185964,0.1530495,0.4199594,0.129331,1
0.4658597,0.8661176,0.8845809,0.0414901,1
0.8731206,0.425128,0.4873977,0.2719673,1
0.399192,0.5810766,0.3022399,0.9399222,1
0.4558839,0.8687679,0.9675661,0.9035894,1
0.0461388,0.2714488,0.6333814,0.7904346,1
0.1068073,0.9926412,0.8264256,0.3208537,1
0.3841151,0.9872939,0.2308306,0.3254074,1
0.2038088,0.6806253,0.300795,0.2653779,1
0.7633423,0.9200923,0.3741128,0.3774855,1
0.4007767,0.1169787,0.1699519,0.3923995,1
0.1430707,0.9586794,0.720637,0.9190375,1
0.2125353,0.1281483,0.3919925,0.1341255,1
0.9550158,0.1314413,0.6416222,0.6361713,0
0.9081165,0.3324587,0.8869799,0.0367974,0
0.5720242,0.6453327,0.4200752,0.3798429,1
0.3069948,0.9084988,0.2169759,0.2175177,1
0.1452287,0.7060081,0.9815545,0.5373448,1
0.1253206,0.1229367,0.0949986,0.3459954,1
0.2051484,0.1050279,0.3836651,0.0089213,0
0.9875767,0.7129819,0.8383255,0.3410262,0
0.0168564,0.7678126,0.898919,0.9268266,0
0.7251344,0.5866996,0.7690403,0.4561378,1
0.9896527,0.8988043,0.3572805,0.4451902,0
0.5794375,0.3012163,0.017154,0.0724807,1
0.0190803,0.1701827,0.4218007,0.8609518,1
0.2236704,0.5655872,0.3665949,0.3459202,1
0.5803495,0.4286721,0.071206,0.5773737,0
0.2520493,0.3253128,0.109088,0.3271078,1
0.6378182,0.9653179,0.5395811,0.3552845,1
0.4389584,0.0302021,0.3942996,0.1723697,0
0.7028896,0.2872548,0.8315163,0.9228704,0
0.7281666,0.8794189,0.0990626,0.2364722,0
0.5987127,0.5436636,0.1098147,0.6869781,1
0.593011,0.7362059,0.2723433,0.5614561,0
0.4410412,0.6489285,0.5956937,0.1181843,1
0.5092863,0.5989421,0.0815047,0.9655504,0
0.9108321,0.7251784,0.3141609,0.6946089,1
0.1443948,0.5678091,0.899678,0.1592488,0
0.6623726,0.466334,0.6510277,0.3294195,1
0.8478874,0.4359964,0.2424036,0.7441712,0
0.1888886,0.5056936,0.7315003,0.7511996,1
0.7333276,0.3735153,0.9407306,0.2184135,1
0.5124912,0.6087801,0.8236786,0.3771254,1
0.8376904,0.8227509,0.6558767,0.2220258,0
0.9190281,0.0379136,0.4963809,0.080906,1
0.0688957,0.2885601,0.2383075,0.8439931,1
0.7504908,0.5492322,0.8384885,0.1998017,0
0.2859127,0.8961982,0.3269579,0.6573875,0
0.6371657,0.9164342,0.5208303,0.7115331,0
0.4409737,0.5325795,0.5774873,0.5716278,1
0.3397242,0.4206809,0.4993067,0.9871847,0
0.0412886,0.8261373,0.6233665,0.5365575,1
0.8122786,0.4891495,0.6737894,0.3850312,0
0.6481254,0.7158265,0.0695956,0.2548652,0
0.4948227,0.3243647,0.785641,0.0869061,1
0.7611823,0.5328837,0.8251917,0.0208112,0
0.4126732,0.468383,0.021806,0.690808,0
0.6074939,0.2785141,0.0993553,0.9748139,1
0.9630797,0.2751709,0.8965431,0.0770279,1
0.7822466,0.1050407,0.1316412,0.6491564,0
0.2174007,0.5772355,0.5619551,0.000951,0
0.6644358,0.1809175,0.92498,0.8759913,1
0.1011821,0.6402572,0.8647732,0.3047229,1
0.3170706,0.0144257,0.5795633,0.8049283,0
0.2489871,0.6286456,0.3972952,0.9901962,1
0.2083379,0.6375311,0.4879571,0.7410221,1
0.3321855,0.0384078,0.0809347,0.1478024,0
0.5165824,0.1109665,0.8984523,0.2821761,0
0.4357504,0.8164848,0.9629338,0.0127092,0
0.6517545,0.8311837,0.7344208,0.3152785,1
0.771478,0.7502946,0.8680442,0.5667833,0
0.9867507,0.6394512,0.5646967,0.5996349,0
0.7137296,0.7615792,0.1937655,0.4681527,1
0.6033695,0.9331529,0.1196083,0.7620825,1
0.9903548,0.247211,0.498403,0.0888777,0
0.2709393,0.4278107,0.2618056,0.0607077,1
0.8743134,0.724263,0.7705689,0.5567209,0
0.5383797,0.6095147,0.0294272,0.2887328,0
0.3496744,0.5009551,0.8870848,0.1714196,1
0.5567368,0.4416698,0.3959944,0.7896085,0
0.3292084,0.1199782,0.1177231,0.7761868,0
0.1978126,0.9124386,0.139105,0.9897373,1
0.7786333,0.2468832,0.9396403,0.265976,1
0.5938024,0.6649516,0.1124191,0.3892164,1
0.3444743,0.681405,0.6708446,0.265663,1
0.5402933,0.4904225,0.8223567,0.3781241,1
0.5491502,0.5519055,0.2711393,0.8626348,0
0.0762351,0.6887001,0.1747365,0.1509667,1
0.510564,0.2765723,0.3639269,0.7292631,0
0.107268,0.7343275,0.811948,0.2021029,0
0.0934375,0.5438758,0.6441199,0.238856,0
0.5492484,0.5087593,0.0054671,0.8321601,1
0.2055192,0.0802724,0.3610492,0.8441663,1
0.8973837,0.2198331,0.9913417,0.3976175,0
0.3025777,0.3618841,0.4054753,0.0754784,0
0.6301204,0.9563285,0.1967773,0.6066602,1
0.3192093,0.8634204,0.6755267,0.5877477,0
0.629015,0.070345,0.8338316,0.5816226,0
0.8254324,0.891359,0.0909349,0.3595181,0
0.9563374,0.8544383,0.769624,0.5731854,0
0.7331415,0.9977352,0.1395512,0.8641702,0
0.4852789,0.1423984,0.1397157,0.5746143,0
0.3157572,0.7664418,0.2312957,0.1707681,0
0.889459,0.6764246,0.7784076,0.789193,1
0.2613575,0.6682608,0.3956883,0.113786,0
0.6024047,0.4866494,0.5175284,0.0871391,1
0.4996057,0.1444838,0.5802026,0.5443336,1
0.3399597,0.1368404,0.743802,0.802093,1
0.5059455,0.0018582,0.8012914,0.2966087,0
0.2521824,0.5744058,0.9208173,0.6471985,0
0.3683215,0.3064771,0.991608,0.0036297,1
0.6764665,0.2258164,0.5214407,0.874071,1
0.2470031,0.2061373,0.4822719,0.8297587,1
0.7034596,0.6493092,0.4117571,0.6779085,1
0.4005431,0.9468179,0.421411,0.7359596,1
0.3815468,0.1695758,0.5647937,0.945553,1
0.413864,0.3559361,0.9370694,0.5251496,0
0.1276024,0.8856286,0.5486656,0.8359797,1
0.7809848,0.0943201,0.7591957,0.3962218,0
0.9652383,0.3417981,0.9897205,0.2279822,0
0.0046832,0.1868059,0.6789632,0.0866627,0
0.871124,0.9058911,0.9669888,0.2791712,0
0.1789092,0.2683534,0.3256142,0.9970712,0
0.3490218,0.5476325,0.6927681,0.5283655,1
0.175869,0.4528395,0.2088933,0.6083609,0
0.0887529,0.107699,0.1179334,0.1229137,0
0.906588,0.0487225,0.2760939,0.0387491,0
0.6053752,0.1163318,0.9078144,0.1899711,0
0.034524,0.1567804,0.027106,0.3748018,1
0.9649828,0.6676918,0.2538759,0.3521809,1
0.5412581,0.8322933,0.9150939,0.9176847,1
0.3495976,0.0591131,0.4943161,0.2898017,1
0.3536984,0.3419319,0.116259,0.4228627,1
0.1180751,0.5937205,0.1237224,0.1762024,1
0.526942,0.7737071,0.1855488,0.5952197,0
0.6110385,0.3267923,0.5184903,0.5536318,0
0.0738676,0.9131991,0.3214794,0.951683,0
0.7715886,0.839121,0.0075152,0.9383253,0
0.8157713,0.4472619,0.4316455,0.21945,1
0.1672611,0.5558706,0.5745435,0.5229491,1
0.1149196,0.9933534,0.0465568,0.504425,1
0.7839107,0.2184364,0.6229271,0.0548203,0
0.013661,0.207366,0.043104,0.104141,1
0.285337,0.2072,0.853025,0.751445,1
0.979307,0.770497,0.13676,0.342489,1
0.592554,0.215344,0.923935,0.299724,0
0.410558,0.44131,0.943148,0.102404,1
0.989212,0.151738,0.916758,0.675513,1
0.851551,0.963605,0.998732,0.49828,1
0.086712,0.403176,0.213753,0.194115,0
0.448425,0.078171,0.279171,0.762916,0
0.697498,0.985547,0.438074,0.21949,0
0.867439,0.689605,0.497747,0.630401,1
0.581118,0.60942,0.33747,0.357916,1
0.801352,0.517181,0.302716,0.372051,0
0.954266,0.959234,0.015028,0.364501,0
0.694738,0.340924,0.737467,0.15333,1
0.873168,0.287117,0.947977,0.531999,1
0.643344,0.347153,0.447201,0.864021,0
0.517368,0.698205,0.055704,0.798892,1
0.736155,0.762883,0.051969,0.990226,0
0.714856,0.867889,0.917229,0.917808,0
0.576922,0.765281,0.936402,0.139699,1
0.733408,0.764791,0.647174,0.683313,0
0.052924,0.109489,0.646832,0.175086,0
0.389706,0.56378,0.626803,0.702876,1
0.064645,0.466249,0.474826,0.799243,1
0.609851,0.746472,0.043437,0.46405,1
0.40734,0.364223,0.246163,0.746921,1
0.011419,0.448287,0.294264,0.033979,0
0.6861,0.276695,0.673108,0.547246,0
0.575617,0.183677,0.665204,0.771112,0
0.25331,0.565481,0.404961,0.614682,0
0.698056,0.91121,0.348315,0.076813,0
0.34896,0.363581,0.18257,0.557715,1
0.033086,0.659065,0.013983,0.578386,1
0.64203,0.58927,0.682496,0.249171,0
0.993094,0.752662,0.894516,0.046003,1
0.396414,0.675952,0.30184,0.910497,1
0.178897,0.62222,0.260954,0.854039,0
0.135599,0.21894,0.260988,0.500731,0
0.285394,0.497477,0.09405,0.184466,1
0.755587,0.371109,0.104777,0.685483,1
0.022272,0.935235,0.02472,0.929778,0
